Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t2,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t3,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t4,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t5,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t6,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t7,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t8,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t9,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t10,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t11,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.068622222222224
t12,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t13,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t14,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t15,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t16,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t17,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t18,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t19,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t20,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t21,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t22,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t23,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t24,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t25,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t26,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t27,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t28,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t29,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t30,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t31,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t32,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t33,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t34,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t35,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t36,0.0,0.0,0.0,0.0,0.0,-59.74104347826087,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t37,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t38,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t39,0.0,0.0,0.0,0.0,0.0,-59.74104347826086,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
