Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t2,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t3,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t4,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t5,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t6,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t7,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t8,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t9,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t10,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t11,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t12,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t13,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t14,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t15,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t16,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t17,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t18,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t19,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t20,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t21,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t22,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t23,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t24,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t25,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t26,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t27,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t28,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t29,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t30,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t31,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t32,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t33,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t34,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t35,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
t36,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t37,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t38,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t39,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t40,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t41,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t42,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t43,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t44,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t45,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t46,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t47,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t48,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t49,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t50,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t51,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t52,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t53,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t54,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t55,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222221
t56,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-61.06862222222222
